bbmpLmsId,name,zone,lat,lon,latRaw,lonRaw,coordNote,url,source
100,Kalena Agrahara Lake STP,Bommanahalli,12.865417,77.589667,12.865417,77.589667,,https://lms.bbmpgov.in/viewlakenew/100,bbmp-lms
101,Mylasandra (Sunnakallu palya) lake,RR Nagar,12.922,77.48,12.92200,77.48000,,https://lms.bbmpgov.in/viewlakenew/101,bbmp-lms
102,Dubasipalay lake (Valagerahalli),RR Nagar,12.912,77.437,12.91200,77.43700,,https://lms.bbmpgov.in/viewlakenew/102,bbmp-lms
103,Chikkammanahalli Lake,Bommanahalli,12.848583,77.603361,12.848583,77.603361,,https://lms.bbmpgov.in/viewlakenew/103,bbmp-lms
104,Mangammanahalli lake,RR Nagar,12.88053,77.49142,12.88053,77.49142,,https://lms.bbmpgov.in/viewlakenew/104,bbmp-lms
105,Gandhinagar Hosakere,RR Nagar,12.946,77.471,12.94600,77.47100,,https://lms.bbmpgov.in/viewlakenew/105,bbmp-lms
106,Kammanahalli Lake (Meenakshi Lake),Bommanahalli,12.855611,77.603944,12.855611,77.603944,,https://lms.bbmpgov.in/viewlakenew/106,bbmp-lms
107,Varahasandra Lake,RR Nagar,12.88053,77.49142,12.88053,77.49142,,https://lms.bbmpgov.in/viewlakenew/107,bbmp-lms
108,Yelenahalli Lake,Bommanahalli,12.866583,77.614111,12.866583,77.614111,,https://lms.bbmpgov.in/viewlakenew/108,bbmp-lms
109,Chikkabasthi lake,RR Nagar,12.89233,77.48361,12.89233,77.48361,,https://lms.bbmpgov.in/viewlakenew/109,bbmp-lms
110,Nyanappanahalli Lake ( Akshayanagara Lake),Bommanahalli,12.871213,77.614528,12.871213,77.614528,,https://lms.bbmpgov.in/viewlakenew/110,bbmp-lms
111,Chikkagowdanapaly lake,RR Nagar,12.87214,77.51403,12.87214,77.51403,,https://lms.bbmpgov.in/viewlakenew/111,bbmp-lms
112,Konasandra Lake,RR Nagar,12.865,77.531,12.86500,77.53100,,https://lms.bbmpgov.in/viewlakenew/112,bbmp-lms
113,Kothanuru Lake,Bommanahalli,12.875738,77.57822,12.875738,77.57822,,https://lms.bbmpgov.in/viewlakenew/113,bbmp-lms
114,Lingadeeranahalli-13 Lake,RR Nagar,12.87214,77.51403,12.87214,77.51403,,https://lms.bbmpgov.in/viewlakenew/114,bbmp-lms
115,Talghatapura Lake,RR Nagar,12.865,77.531,12.86500,77.53100,,https://lms.bbmpgov.in/viewlakenew/115,bbmp-lms
116,Konanakunte Lake,Bommanahalli,12.89125,77.568972,12.53285,77.3408.3,decoded from packed DMS,https://lms.bbmpgov.in/viewlakenew/116,bbmp-lms
117,Chunchaghatta Kere,Bommanahalli,12.88775,77.575194,12.88775,77.575194,,https://lms.bbmpgov.in/viewlakenew/117,bbmp-lms
118,Bayyapanapalya Kunte Lake,RR Nagar,12.868,77.543,12.86800,77.54300,,https://lms.bbmpgov.in/viewlakenew/118,bbmp-lms
119,Swarnakunte Gudda Kere,Bommanahalli,12.862722,77.607861,12.862722,77.607861,,https://lms.bbmpgov.in/viewlakenew/119,bbmp-lms
120,H Gollahalli kere,RR Nagar,12.87394,77.48314,12.87394,77.48314,,https://lms.bbmpgov.in/viewlakenew/120,bbmp-lms
121,Ullala lake,RR Nagar,12.96,77.482,12.96000,77.48200,,https://lms.bbmpgov.in/viewlakenew/121,bbmp-lms
122,Subedarana Kere,Bommanahalli,12.859861,77.616583,12.859861,77.616583,,https://lms.bbmpgov.in/viewlakenew/122,bbmp-lms
123,Jogi kere,RR Nagar,12.86311,77.53839,12.86311,77.53839,,https://lms.bbmpgov.in/viewlakenew/123,bbmp-lms
124,Basapura Lake - 1,Bommanahalli,12.869697,77.649827,12.869697,77.649827,,https://lms.bbmpgov.in/viewlakenew/124,bbmp-lms
125,Handrahalli kere,RR Nagar,13.01,77.487,13.01000,77.48700,,https://lms.bbmpgov.in/viewlakenew/125,bbmp-lms
126,Lingadeeranahalli (handrahalli),RR Nagar,13.004,77.482,13.00400,77.48200,,https://lms.bbmpgov.in/viewlakenew/126,bbmp-lms
127,Herohalli Lake,RR Nagar,12.989,77.488,12.98900,77.48800,,https://lms.bbmpgov.in/viewlakenew/127,bbmp-lms
128,Gattigerepalya (Sompura) lake,RR Nagar,12.88311,77.50214,12.88311,77.50214,,https://lms.bbmpgov.in/viewlakenew/128,bbmp-lms
129,Basapura Lake - 2,Bommanahalli,12.868686,77.643905,12.868686,77.643905,,https://lms.bbmpgov.in/viewlakenew/129,bbmp-lms
130,Sompura Lake,RR Nagar,12.876,77.5,12.87600,77.50000,,https://lms.bbmpgov.in/viewlakenew/130,bbmp-lms
131,Vishwaneedum Lake,RR Nagar,12.983,77.492,12.98300,77.49200,,https://lms.bbmpgov.in/viewlakenew/131,bbmp-lms
132,Hosakerehalli lake,RR Nagar,12.92744,77.53286,12.92744,77.53286,,https://lms.bbmpgov.in/viewlakenew/132,bbmp-lms
133,Srigandadakaval lake,RR Nagar,12.984,77.50094,12.98400,77.50094,,https://lms.bbmpgov.in/viewlakenew/133,bbmp-lms
134,Begur Lake,Bommanahalli,12.874722,77.629972,12.874722,77.629972,,https://lms.bbmpgov.in/viewlakenew/134,bbmp-lms
