rauId,annexure,list,status,serial,tankNo,name,zone,taluk,areaHa,condition,landUse,recommendation,agency,page,source
a4-50,4,city,live,50,708,Doddokere Hoskere- ROLL,Between Hosur Road and Mysore Road,,23.22,The tank is located near Hosakerehalli viliage adjoining Banashankari ITI stage layout,Regional park,Regional park and watersheet,Forest Dept,60,rau-1986
a4-51,4,city,live,51,706,Chickklo-~ sond re Tank,Between Hosur Road and Mysore Road,,6.16,The tank is located near Banashankari Til stage layout,Parks & open space,To develop tree park,Forest Dept,60,rau-1986
a4-52,4,city,live,52,707,Ittanadu Tank,Between Hosur Road and Mysore Road,,4.46,The tank is located near Banashankari ITI stage Layout,Park and open spaces,fo develop park with tree planting,Forest Dept,60,rau-1986
a4-53,4,city,live,53,723,Mylssendra 11.% Tank ( 2 tans),Between Hosur Road and Mysore Road,,,The tanks re located in the interior and south of Kengeri,Park & open spaces,Foreshore plenting. To develop tree park when the surrounmling area gets deve- Loped,Forest Dept,60,rau-1986
a4-62,4,city,live,62,674,Kelaginakere yalgeranali,Between Hosur Road and Mysore Road,,10.81,The tank is located in the interior near Kengeri Sate- Llite town,Park and operspaces,Foreshore planting. Watersheet to be méintained,Forest Dept.& ByWSSB,61,rau-1986
a4-63,4,city,live,63,673(a),Tank west of Wagarbaavi,Between Hosur Road and Mysore Road,,3.55,The tank is located near Bangalore University Campus,Park and open spaces,fo develop watersheet and tourist facilities by K.S.T.D.C,Forest Dept.& KESTDC,61,rau-1986
a4-64,4,city,live,64,673,ore Halatn- Tovi Bagappane nalli,Between Hosur Road and Mysore Road,,27.10,The tank is located towards west of Bangalore University campus & near Malathnalii,Park & open spaces ywatersheat retained,Foreshore vlenting. Watersheet to be retained & tourist fecilities by ESTDC,Forest Dept.& ESTDC,61,rau-1986
a4-65,4,city,live,65,672,Srigandhazaval tank,Between Hosur Road and Mysore Road,,,The tank is located towards south of Magadi 2o0ad ani is & om&il one,Park and open spaces,Foreshore planting,Forest Dept,61,rau-1986
a4-66,4,city,live,66,683,Tank north west of Nayandahalli,Between Hosur Road and Mysore Road,,4.52,The tank is located towards north west of Nayandahalli and near Pantharapalya along Mysore Road,open & gnaces,ine te aerelog a tree park wen the sh; ne surrounding area gets deve-— loped,Forest Dept,61,rau-1986
a4-67,4,city,live,67,683,Halekere Wayandahalli,Between Hosur Road and Mysore Road,,5.80,The tank is lo a cated near Pantharapalya & Nayandanaili Railwa i i ilway station,Pa open & spaces. Watersheet retained,to,dost se,61,rau-1986
a4-68,4,city,live,68,521,Narasappanake re Kari-Obanahalli,Between Hosur Road and Mysore Road,,,"The tank is located in the interior, south of Tumkur roed and near Nallakedrenahalli",Park and open spaces,fo devclop Forest tree park Dept,,62,rau-1986
a4-69,4,city,live,69,520,Hoskere Nallakad renahalli a,Between Hosur Road and Mysore Road,,9.54,"The tank is located in theinterior, south of Tumkur Road and near Nallexadrena-~ nel",Park of residmtial layout,Foreshore planting. To develop tree park when the surrounding area gets develpped,Forest Dept,62,rau-1986
a4-70,4,city,live,70,519,Halekere Mallakeadronahalli,Between Hosur Road and Mysore Road,,3.07,"The tank is located in the interior, south of Tumkur Road and near Nallakadrenahalli",Part of cesidential gone,To develop tree park in the tank bad and proposed park in the 1a yout,"Fore- Dept, G BLD.A",62,rau-1986
