key,pixelCount,lowConfidence,occurrenceMean,occurrenceMedian,pctEverWater,pctNeverWater,pctPermanent,pctSeasonal,pctSeasonalToPermanent,pctPermanentToSeasonal,pctLostPermanent,pctLostSeasonal,pctNewPermanent,pctNewSeasonal,pctEphemeral,seasonalityMeanMonths,recurrenceMean,changeMean,firstYearWithWater,lastYearWithWater,source
avalahalli-kunte-3,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalahalli-kunte-4,3,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalahalli-kunte1,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalahalli-kunte2,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalahalli-lake,83,False,2.7,0.0,16.9,83.1,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,53.1,33.4,1988,2020,jrc-gsw-1-5
avalahalli-lake-2,6,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalakuppe-lake,9,True,0.7,0.0,11.1,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.2,100.0,100.0,,,jrc-gsw-1-5
averahalli-kere,62,False,17.4,3.0,53.2,46.8,0.0,0.0,0.0,0.0,0.0,0.0,4.8,17.7,30.6,2.0,72.5,83.0,1992,2021,jrc-gsw-1-5
averhalli-kere,109,False,3.7,4.0,59.6,40.4,0.0,15.6,0.0,0.0,0.0,31.2,0.0,1.8,11.0,0.4,41.4,-82.1,1988,2017,jrc-gsw-1-5
ayyana-kere,48,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
ayyannanapalya-lake,54,False,19.3,18.5,77.8,22.2,0.0,18.5,9.3,0.0,0.0,1.9,9.3,25.9,9.3,4.3,63.1,41.5,1988,2021,jrc-gsw-1-5
b-channasandra-lake,119,False,15.0,4.0,66.4,33.6,1.7,1.7,6.7,0.8,0.0,0.8,14.3,20.2,20.2,3.8,63.3,12.5,1988,2021,jrc-gsw-1-5
b-narayanapura-kere,18,False,1.2,0.0,16.7,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,11.1,0.1,66.7,100.0,2016,2020,jrc-gsw-1-5
bachchahalli-kere,918,False,10.1,8.0,69.5,30.5,0.0,4.7,0.0,0.0,0.0,59.4,0.0,0.0,0.3,0.1,48.5,-14.9,1988,2021,jrc-gsw-1-5
badakukere,16,False,5.8,0.0,31.2,68.8,0.0,12.5,0.0,0.0,0.0,6.2,0.0,0.0,12.5,0.6,73.2,16.0,1988,2021,jrc-gsw-1-5
badamanavartha-kaval-kere,29,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
badavamavarthe-kavalu-kunte1,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
badavamavarthe-kavalu-kunte2,3,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
badavamavarthekavalu-hosakere-1,32,True,1.1,0.0,9.4,90.6,0.0,0.0,0.0,0.0,0.0,3.1,0.0,6.2,0.0,0.1,97.0,72.6,,,jrc-gsw-1-5
badavamavarthekavalu-kunte3,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
badavamavarthekavalu-kunte4,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
badavamavarthekavalu-kunte5,5,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
badavamavarthekavalu-kunte6,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
badavamavarthekavalu-kunte7,20,True,2.6,0.0,10.0,90.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,90.5,41.0,1988,2021,jrc-gsw-1-5
bagalagunte-govt-lake,39,False,7.1,0.0,43.6,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,15.4,0.7,66.8,47.9,1992,2021,jrc-gsw-1-5
bagalagunte-kunte1,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
bagalakunte-kere1,60,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
bagalakunte-kunte2,9,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
bagalakunte-kunte3,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
bagaluru-majare-kunte,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
bagur-lake,215,False,13.6,12.0,79.1,20.9,0.0,36.3,4.2,0.0,0.0,27.9,0.0,0.5,7.9,2.1,44.5,-3.5,1988,2021,jrc-gsw-1-5
bail-narsapur-lake-1,137,False,20.8,22.0,79.6,20.4,0.0,38.0,0.0,0.7,0.0,32.8,0.0,1.5,5.8,1.1,74.9,12.1,1988,2021,jrc-gsw-1-5
bail-narsapur-lake-2,135,False,12.0,10.0,77.8,22.2,0.0,27.4,0.0,0.0,0.0,40.7,0.0,0.0,9.6,0.7,65.7,-10.3,1988,2021,jrc-gsw-1-5
bail-narsapur-lake-3,63,False,4.1,0.0,36.5,63.5,0.0,1.6,0.0,0.0,0.0,25.4,0.0,0.0,9.5,0.0,58.4,15.1,1988,2018,jrc-gsw-1-5
bail-narsapur-lake-4,33,False,7.9,0.0,42.4,57.6,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,30.3,0.0,66.7,67.7,1988,2021,jrc-gsw-1-5
bailakonnenahalli-kunte,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
bainahalli-lake,304,False,17.7,18.0,75.3,24.7,0.0,0.0,0.0,0.0,1.3,6.6,6.2,13.5,47.4,1.3,72.2,17.6,1988,2021,jrc-gsw-1-5
bairasandra-kere,83,False,17.3,0.0,48.2,51.8,0.0,24.1,0.0,0.0,0.0,0.0,0.0,15.7,7.2,2.3,82.6,49.0,1988,2021,jrc-gsw-1-5
baiyappanahalli-kere,143,False,26.8,25.0,73.4,26.6,0.0,8.4,35.7,0.0,0.0,12.6,5.6,5.6,5.6,5.6,64.9,50.4,1988,2021,jrc-gsw-1-5
balagere-kunte1,15,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
