qid,labelEn,labelKn,aliasesEn,aliasesKn,description,lat,lon,instanceOf,instanceOfQids,enwiki,knwiki,image,commonsCategory,osmRelation,osmWay,areaM2,inception,geonamesId,heritageStatus,possibleDuplicateOf,source
Q34878412,Bondakodigenhalli Kere,ಬೊಂಡಕೊಡಿಗೇನಹಳ್ಳಿ ಕೆರೆ,,,reservoir in India,13.1775,77.6875,reservoir,Q131681,,,,,,,,,10854460,,,wikidata-2026-09
Q34878838,Budigere Kere,ಬೂದಿಗೆರೆ ಕೆರೆ,,,reservoir in India,13.144167,77.748889,reservoir,Q131681,,,,,,,,,10854473,,,wikidata-2026-09
Q34878961,Bagalur Kere,ಬಾಗಲೂರು ಕೆರೆ,,,reservoir in India,13.139444,77.661111,reservoir,Q131681,,,,,,,,,10854509,,,wikidata-2026-09
Q34880304,Chik Sanne Kere,ಚಿಕ್ ಸಣ್ಣೆ ಕೆರೆ,,,reservoir in India,13.238889,77.684167,reservoir,Q131681,,,,,,,,,10854362,,,wikidata-2026-09
Q34880315,Chikane Kere,ಚಿಕನೆ ಕೆರೆ,,,reservoir in India,13.167778,77.304167,reservoir,Q131681,,,,,,,,,10853191,,,wikidata-2026-09
Q34883684,Dod Jala Kere,ದೊಡ್ಡ ಜಾಲ ಕೆರೆ,,,reservoir in India,13.173056,77.647222,reservoir,Q131681,,,,,,,,,10854702,,,wikidata-2026-09
Q34883697,Dod Sanne Kere,ದೊಡ್ ಸಣ್ಣೆ ಕೆರೆ,,,reservoir in India,13.220556,77.686667,reservoir,Q131681,,,,,,,,,10854366,,,wikidata-2026-09
Q34883711,Dod-Araligere Kere,ದೊಡ್-ಅರಳಿಗೆರೆ ಕೆರೆ,,,reservoir in India,13.191944,77.848056,reservoir,Q131681,,,,,,,,,10855018,,,wikidata-2026-09
Q34883764,Doddatumkur Kere,ದೊಡ್ಡತುಮಕೂರು ಕೆರೆ,,,reservoir in India,13.231944,77.527778,reservoir,Q131681,,,,,,,,,10854696,,,wikidata-2026-09
Q34889007,Hare Kere,ಹರೇ ಕೆರೆ,,,reservoir in India,13.242778,77.465278,reservoir,Q131681,,,,,,,,,10853127,,,wikidata-2026-09
Q34889529,Hebbal Kere,ಹೆಬ್ಬಾಳ ಕೆರೆ,,,reservoir in India,13.045,77.588889,reservoir,Q131681,,,,,,,,,10854610,,,wikidata-2026-09
Q34889795,Hesaghatta Tank,,,,reservoir in India,13.148889,77.488333,reservoir,Q131681,,,,,,,,,1270121,,Q5745519,wikidata-2026-09
Q34890176,Hiri Kere,ಹಿರಿ ಕೆರೆ,,,reservoir in India,13.220556,77.305833,reservoir,Q131681,,,,,,,,,10853097,,,wikidata-2026-09
